,filename,fractal_dimension,entropy,lacunarity,SRE,LRE,RPC,Minor_Axis_Length,Solidity,Integrated_Density,Label
14,GBM-Grade IV-C7_4.jpg,1.4009719627577453,6.535000540577182,0.0309527356227231,2.371,28.125,30.6,1.514704077,0.969388627,68899687,1
15,GBM-Grade IV-1_0.jpg,1.688102860799973,6.310136704437016,0.0236506358454666,2.383,29.093,34.095,2.204491382,0.914135721,84946770,1
16,GBM-Grade IV-1_1.jpg,1.6667348406859075,5.391027453215987,0.0178749654730323,2.511,24.213,36.534,1.865317035,0.924275855,97757559,1
17,GBM-Grade IV-1_2.jpg,1.6629507398934638,5.918601566860306,0.0214222047004418,2.445,25.442,35.84,2.011567159,0.915907011,87206186,1
18,GBM-Grade IV-1_3.jpg,1.6768204195737282,5.999407987175553,0.0214317545533574,2.443,24.976,35.818,1.863139419,0.918017198,97847520,1
19,GBM-Grade IV-1_4.jpg,1.6223043421824332,5.024979046258365,0.0174849204196126,2.447,25.49,35.605,1.798960023,0.923818518,99601311,1
20,GBM-Grade IV-D4_0.jpg,1.754609509619064,5.911050349826021,0.0239541399223072,2.701,40.381,34.408,3.717981272,0.870821591,88014515,1
21,GBM-Grade IV-D4_1.jpg,1.7498779125046977,4.909196216728306,0.0209252492349895,2.836,17.259,39.839,3.824196429,0.871851337,87246062,1
22,GBM-Grade IV-D4_2.jpg,1.7182550409513884,4.851465802029798,0.0201427705805418,2.833,16.5,40.117,3.649291588,0.872011642,94046327,1
23,GBM-Grade IV-D4_3.jpg,1.7384731228744177,5.961081463496248,0.027556285339394,2.767,22.732,37.707,3.270393199,0.875804513,106172289,1
24,GBM-Grade IV-D4_4.jpg,1.7886620760244891,6.784050924573404,0.0361998752513535,2.755,19.097,38.262,4.125949637,0.868865488,103815312,1
25,GBM-Grade IV-12_0.jpg,1.7561885405336528,5.853449927412431,0.0254479286308733,2.749,16.518,40.35,3.978765277,0.867999233,114236907,1
26,GBM-Grade IV-12_1.jpg,1.7168731014180303,4.6471451521482665,0.0187582578039693,2.74,45.066,35.9,3.082493292,0.883904896,125868088,1
27,GBM-Grade IV-12_2.jpg,1.6775323719943367,4.803810502464429,0.0194786126973529,2.624,55.344,32.498,4.012614382,0.871768407,112722480,1
28,GBM-Grade IV-12_3.jpg,1.721436244923541,5.754996538650349,0.0243002224890936,2.641,22.316,37.188,3.199287795,0.880283681,123805775,1
29,GBM-Grade IV-12_4.jpg,1.6868873929649428,4.445727613807195,0.0177894726354644,2.813,24.081,39.634,4.377892757,0.878754204,98054190,1
30,GBM-Grade IV-C10_0.jpg,1.7026380413441404,6.553647700820469,0.0324615305420292,2.432,27.466,32.08,1.998239685,0.910447741,68359820,1
31,GBM-Grade IV-C10_1.jpg,1.6769445017064308,6.53320060373745,0.0328167337735704,2.472,25.297,32.959,1.992718319,0.909326311,62768700,1
32,GBM-Grade IV-C10_2.jpg,1.6758078911008265,6.243721680063657,0.0303063472161902,2.544,22.603,34.273,2.493928106,0.889277264,42189927,1
33,GBM-Grade IV-C10_3.jpg,1.6055687827324463,5.545194820313983,0.0252545035850192,2.394,35.135,30.019,2.023151226,0.910484252,68318926,1
34,GBM-Grade IV-C10_4.jpg,1.6829166579994408,6.472004013021967,0.0338760623372145,2.504,25.933,32.993,2.12763755,0.904021912,60904032,1
35,GBM-Grade IV-D3_0.jpg,1.7408558429918126,6.308130341265392,0.0258382702413315,2.63,19.223,36.457,2.058995569,0.884818869,75810064,1
36,GBM-Grade IV-D3_1.jpg,1.72047291664284,6.28149528954312,0.024801747525058,2.635,18.713,36.841,2.742973951,0.879174891,68173127,1
37,GBM-Grade IV-D3_2.jpg,1.7092535564494593,5.748999022043823,0.0224616780667295,2.693,17.573,37.79,3.207635104,0.866896569,54373338,1
38,GBM-Grade IV-D3_3.jpg,1.729582693661188,6.379393455760647,0.0254237691386346,2.627,19.404,36.787,2.406297683,0.887638013,66777404,1
39,GBM-Grade IV-D3_4.jpg,1.685436594106004,5.966258149025984,0.0232275061284745,2.653,19.332,36.96,2.052593077,0.897522757,84002901,1
40,GBM-Grade IV-10_0.jpg,1.6251870624967812,5.141421252564822,0.0352078479088007,2.891,31.482,38.66,2.293669915,0.887847308,96279212,1
41,GBM-Grade IV-10_1.jpg,1.6438412171308137,4.8667859579687125,0.0320311587740003,2.922,86.12,33.805,2.511268144,0.886210997,92689048,1
42,GBM-Grade IV-10_2.jpg,1.6965995893631476,5.331297805554701,0.0369621224089936,2.862,118.462,30.337,2.238989755,0.89464424,105058999,1
43,GBM-Grade IV-10_3.jpg,1.7007999082012824,6.373409058782649,0.046233551068098,2.83,142.409,29.772,2.155255453,0.892833816,102728123,1
44,GBM-Grade IV-10_4.jpg,1.659413793699304,5.119933136343482,0.0353538170011847,2.87,52.813,36.047,1.960600503,0.901955705,117810942,1
45,GBM-Grade IV-C8_0.jpg,1.3967909332151949,6.0856461185495485,0.0378885258144731,2.441,31.084,30.921,1.619125619,0.953212961,42997949,1
46,GBM-Grade IV-C8_1.jpg,1.4276562848026044,5.348749660583366,0.0323595078315073,2.55,24.815,33.358,1.280358542,0.958090044,51419465,1
47,GBM-Grade IV-C8_2.jpg,1.4056302147871615,5.532226419958949,0.0337586388400196,2.418,32.962,30.474,1.402457432,0.955796156,60941548,1
48,GBM-Grade IV-C8_3.jpg,1.4727714197368749,6.460230168681002,0.0429055475596034,2.471,27.112,32.194,1.284461145,0.962320354,74520327,1
49,GBM-Grade IV-C8_4.jpg,1.4263647826687456,6.179890288813613,0.040711072621877,2.432,31.16,30.822,1.383631796,0.954602241,58227436,1
50,GBM-Grade IV-C9_0.jpg,1.6845766298238225,5.575040160256189,0.0230488152912388,2.635,18.793,38.169,2.189000053,0.900678687,71356293,1
51,GBM-Grade IV-C9_1.jpg,1.701495331042303,6.271651594391494,0.0274063459777805,2.527,20.687,36.556,1.856739247,0.906646607,100399562,1
52,GBM-Grade IV-C9_2.jpg,1.7183323046008403,6.505801640879482,0.028941101775223,2.57,19.871,37.205,2.216778183,0.902598347,83782643,1
53,GBM-Grade IV-C9_3.jpg,1.6822388986644043,5.807444936136393,0.0251056484502241,2.652,18.629,38.36,2.145655048,0.899159599,82588228,1
54,GBM-Grade IV-C9_4.jpg,1.6462048427656188,5.10953430799337,0.0204218817193052,2.601,20.021,37.182,2.564861351,0.890680813,54843702,1
55,GBM-Grade IV-4_0.jpg,1.4979695007689902,4.878188797584535,0.0115339253065324,2.225,34.037,30.565,2.031813194,0.939475816,83458332,1
56,GBM-Grade IV-4_1.jpg,1.5327723257202852,5.615148771112027,0.0141881597469076,2.281,33.398,31.23,2.113745239,0.937653836,67524442,1
57,GBM-Grade IV-4_2.jpg,1.4845973254287164,4.976586728418406,0.0113568375985108,2.211,36.624,29.894,2.204538721,0.942746254,83352203,1
58,GBM-Grade IV-4_3.jpg,1.5226245830976637,5.225177472533404,0.0131059311646579,2.382,31.062,32.386,2.028758625,0.938123786,88509345,1
59,GBM-Grade IV-4_4.jpg,1.5429795314711747,5.578843799482842,0.0144255414015638,2.256,35.008,30.702,2.289912875,0.943128552,80139168,1
60,GBM-Grade IV-C6_0.jpg,1.653640490079438,4.695935148757276,0.0264953721824973,2.74,44.887,36.19,2.593017135,0.902709285,97062168,1
61,GBM-Grade IV-C6_1.jpg,1.6837133449007682,4.993978883404648,0.0268391226456739,2.813,16.542,40.954,2.569196996,0.903215686,97779838,1
62,GBM-Grade IV-C6_2.jpg,1.764226266151414,6.426465016450171,0.0379327003593605,2.733,16.454,40.201,2.595706606,0.900859528,93593737,1
63,GBM-Grade IV-C6_3.jpg,1.6911967134808288,5.4901420623331125,0.0296245513843647,2.804,15.246,41.443,2.681289263,0.903107476,102441314,1
64,GBM-Grade IV-C6_4.jpg,1.7000765014362256,5.355529386037133,0.0285660602360054,2.788,17.152,40.573,2.650686849,0.905031887,94060139,1
65,GBM-Grade IV-D1_0.jpg,1.6842638966148378,6.099314558273544,0.0163348672291247,2.406,49.535,28.253,1.987443366,0.902166218,79653456,1
66,GBM-Grade IV-D1_1.jpg,1.7189803701892874,5.877622871983807,0.017341364343676,2.294,69.254,24.603,1.719537906,0.907126075,93909332,1
67,GBM-Grade IV-D1_2.jpg,1.6718024580403623,5.340466881236289,0.0158483122106711,2.378,62.537,25.681,1.587378803,0.913739819,103160767,1
68,GBM-Grade IV-D1_3.jpg,1.723134332395344,6.637356198095919,0.0188062006515559,2.378,45.813,28.515,2.1727425,0.898353772,66818635,1
69,GBM-Grade IV-D1_4.jpg,1.6643846913982598,5.638399121841319,0.0141598849618666,2.469,48.209,28.78,2.02088821,0.904977284,87880391,1
70,GBM-Grade IV-C3_0.jpg,1.3774185506528618,5.987724064144619,0.0312678117667062,2.402,24.012,32.502,1.334948481,0.941583935,56938230,1
71,GBM-Grade IV-C3_1.jpg,1.445977687584312,5.645748669950291,0.0284334470137125,2.57,21.041,34.82,1.209934946,0.955513586,84964394,1
72,GBM-Grade IV-C3_2.jpg,1.423366074535285,5.602366092519639,0.0279172218457235,2.551,21.442,34.394,1.26222974,0.950169948,78747695,1
73,GBM-Grade IV-C3_3.jpg,1.4545521774135517,6.030808534205447,0.031529082615481,2.557,21.311,34.601,1.488974193,0.958976049,65977363,1
74,GBM-Grade IV-C3_4.jpg,1.4983629084262888,5.284531091252846,0.0270370022773084,2.478,28.866,32.566,1.249399012,0.954183492,82101932,1
75,GBM-Grade IV-C5_0.jpg,1.7057941157364351,6.369487883811123,0.0314734310314498,2.609,18.963,37.404,2.176440977,0.901199536,79797659,1
76,GBM-Grade IV-C5_1.jpg,1.7133896336995964,6.600206166835779,0.0333438540074357,2.578,20.21,36.634,2.022414931,0.904795819,86138095,1
77,GBM-Grade IV-C5_2.jpg,1.6586687099178823,5.6591179639286535,0.0260963390124891,2.649,18.7,37.782,2.259109402,0.901567256,77427778,1
78,GBM-Grade IV-C5_3.jpg,1.7350569184988784,6.5174190656503335,0.0326425839662339,2.598,19.718,36.842,2.192208201,0.903378873,81890348,1
79,GBM-Grade IV-C5_4.jpg,1.684869908073022,6.155619510934341,0.0296590107912173,2.595,19.984,36.742,2.095641576,0.903521445,84575656,1
80,GBM-Grade IV-D2_0.jpg,1.6460198041736125,6.142240262973956,0.0203635434715793,2.434,26.285,33.993,1.649757754,0.926028256,57296376,1
81,GBM-Grade IV-D2_1.jpg,1.652906847971702,5.627034923073767,0.0181760555057162,2.506,24.619,34.81,1.61856982,0.924079105,83777376,1
82,GBM-Grade IV-D2_2.jpg,1.6411704580787918,5.93027409923109,0.0198070302990812,2.483,26.0,34.548,1.594746903,0.921057263,56555499,1
83,GBM-Grade IV-D2_3.jpg,1.6519764734726083,6.095181821362294,0.0216424169572562,2.389,27.325,33.296,1.309333777,0.935138996,91376676,1
84,GBM-Grade IV-D2_4.jpg,1.6238739720454989,5.55299649777089,0.0177275561835541,2.336,30.534,31.862,1.819461909,0.920409488,44876504,1
85,GBM-Grade IV-C4_0.jpg,1.6954170582912955,5.523716811811159,0.0315119767750642,2.92,12.677,43.476,2.069837837,0.904931447,86493870,1
86,GBM-Grade IV-C4_1.jpg,1.7031484010696551,5.691012637816951,0.0312763884156781,2.813,14.625,41.247,2.505072371,0.89060232,67699525,1
87,GBM-Grade IV-C4_2.jpg,1.669489980525632,5.064030705710994,0.0268746586341207,2.909,22.058,40.973,2.34997891,0.892463063,72287685,1
88,GBM-Grade IV-C4_3.jpg,1.6924735187649742,6.015629566724926,0.0337143493700676,2.834,14.016,41.871,2.377104529,0.895832679,72753456,1
89,GBM-Grade IV-C4_4.jpg,1.7044065502231227,5.958267387345229,0.0354231385129496,2.817,14.45,41.406,1.953440432,0.9068481,90648121,1
90,GBM-Grade IV-2_0.jpg,1.663557591453502,4.654603150078123,0.0105552606544305,2.442,33.59,31.557,2.91745936,0.901902605,105047206,1
91,GBM-Grade IV-2_1.jpg,1.695420381004693,5.646786305636384,0.0140273894631636,2.372,30.635,31.353,2.545404446,0.9063496,101780702,1
92,GBM-Grade IV-2_2.jpg,1.6535513724491986,4.556680994019077,0.0103474433427228,2.459,35.214,31.542,2.638474498,0.90893965,101331968,1
93,GBM-Grade IV-2_3.jpg,1.6501486392775595,4.478236538031148,0.0104977368293689,2.417,44.987,29.78,2.390608807,0.912889613,115805033,1
94,GBM-Grade IV-2_4.jpg,1.7259940843692323,5.2770146855350015,0.0129203142326477,2.361,31.435,31.172,3.256262942,0.901377469,94734387,1
95,GBM-Grade IV-11_0.jpg,1.7994437617606542,6.541979223784178,0.0292567893594122,2.688,18.133,39.647,3.507848854,0.906301151,116374770,1
96,GBM-Grade IV-11_1.jpg,1.804199751082943,6.355233660669087,0.0268147476598953,2.714,17.864,39.914,3.196226166,0.897710963,117076932,1
97,GBM-Grade IV-11_2.jpg,1.7674545710626028,5.650317620061857,0.0219133491261648,2.778,15.38,41.805,3.140421098,0.900470602,130890564,1
98,GBM-Grade IV-11_3.jpg,1.757286457848212,6.182463266704529,0.0234808565033877,2.65,19.883,38.473,3.802995807,0.899937456,116500957,1
99,GBM-Grade IV-11_4.jpg,1.8092538830435736,6.307170182939983,0.0276553716335228,2.725,17.181,40.402,3.140070314,0.905318552,121053603,1
100,GBM-Grade IV-5_0.jpg,1.3030319529319154,5.661429529096107,0.0162458008634875,1.912,92.217,21.577,2.070216731,0.960811337,86928599,1
101,GBM-Grade IV-5_1.jpg,1.2932551685544411,5.093431636259501,0.0147963699604319,2.001,58.852,25.355,2.173132488,0.960639329,81934050,1
102,GBM-Grade IV-5_2.jpg,1.299240141148574,5.168514918584495,0.0160802989573799,2.074,48.994,27.145,2.188439844,0.962158935,66770370,1
103,GBM-Grade IV-5_3.jpg,1.318177585538698,5.863992556781285,0.0169554858525161,1.946,74.456,23.544,2.353052609,0.963831871,72950989,1
104,GBM-Grade IV-5_4.jpg,1.277736338556668,5.528795430992322,0.0155979789685441,2.012,58.194,25.407,2.166968095,0.959065162,80685428,1
105,GBM-Grade IV-9_0.jpg,1.6286940669468095,5.926091893667993,0.0454069237879517,2.714,16.805,41.174,1.556926435,0.930956199,101547109,1
106,GBM-Grade IV-9_1.jpg,1.618136440362926,5.540814096478451,0.0431464784766174,2.774,15.154,42.433,1.682696664,0.929017928,98266810,1
107,GBM-Grade IV-9_2.jpg,1.6662790882926335,6.85733827084836,0.0573904232787716,2.714,16.161,41.562,1.405796284,0.930638788,109079330,1
108,GBM-Grade IV-9_3.jpg,1.560134680304957,5.024164783792804,0.0384079123705873,2.796,15.884,42.351,1.543562875,0.924032922,106367938,1
109,GBM-Grade IV-9_4.jpg,1.6159069562143942,5.509122775817319,0.0418819621413736,2.783,15.124,42.522,1.578957352,0.925924503,103165954,1
110,GBM-Grade IV-G8_0.jpg,1.6986622872822348,4.9106819074431804,0.0100605769201213,2.357,44.321,29.475,2.24362446,0.900284249,91038887,1
111,GBM-Grade IV-G8_1.jpg,1.7040017481841525,4.591781110639791,0.0102023964252308,2.405,37.207,31.091,1.755912695,0.904181994,104540607,1
112,GBM-Grade IV-G8_2.jpg,1.734903077525021,4.92707908649328,0.010917311967779,2.303,52.011,27.921,2.263378524,0.89305835,84159542,1
113,GBM-Grade IV-G8_3.jpg,1.7086168000019226,5.143044815383241,0.011421393399581,2.311,58.633,27.093,1.951907724,0.897598693,91530192,1
114,GBM-Grade IV-G8_4.jpg,1.673246159923515,4.733485733130368,0.0105177642248438,2.467,31.016,33.108,2.21903626,0.888957226,86299784,1
115,GBM-Grade IV-D8_0.jpg,1.571863328795262,5.769327377787828,0.0238688256382192,2.424,26.715,33.447,1.897668621,0.925964427,69461465,1
116,GBM-Grade IV-D8_1.jpg,1.5427007037475398,6.125014972567371,0.0286583404563416,2.43,25.646,34.145,1.985268685,0.925204817,66569316,1
117,GBM-Grade IV-D8_2.jpg,1.6097071752163823,6.167520578259184,0.0276590784146099,2.377,27.982,32.896,1.820908933,0.931063312,69864342,1
118,GBM-Grade IV-D8_3.jpg,1.5708010770569,5.617431958022395,0.0241506504340253,2.405,28.198,32.962,1.700683373,0.932732743,94115226,1
119,GBM-Grade IV-D8_4.jpg,1.543963807253892,5.921983249046004,0.0266068703589639,2.412,26.247,33.771,2.032243999,0.918761037,59196170,1
120,GBM-Grade IV-E8_0.jpg,1.7506310979709516,6.015973886774072,0.0235637330687937,2.812,15.586,40.455,3.043883216,0.875403538,99643920,1
121,GBM-Grade IV-E8_1.jpg,1.7592936793228866,5.571632474150877,0.0218882656638552,2.807,15.31,40.441,3.138466317,0.871360562,100233878,1
122,GBM-Grade IV-E8_2.jpg,1.754886268546574,6.012342761624425,0.0232298344287456,2.732,17.547,38.675,3.135173567,0.873245893,99030759,1
123,GBM-Grade IV-E8_3.jpg,1.7599988809230085,5.6591938493551615,0.0208199381927159,2.607,21.185,36.252,3.606629616,0.86427624,89900472,1
124,GBM-Grade IV-E8_4.jpg,1.7698293182456657,6.057841846072064,0.0249746591406561,2.711,17.253,38.706,3.896684067,0.862406807,85570489,1
125,GBM-Grade IV-D7_0.jpg,1.5747735283090205,5.154324474693002,0.0316416224685625,2.519,26.175,35.097,2.281147686,0.921326942,85871537,1
126,GBM-Grade IV-D7_1.jpg,1.5502420060451103,5.552508458836147,0.0329370137765481,2.305,34.326,31.336,2.22539654,0.925564622,91667146,1
127,GBM-Grade IV-D7_2.jpg,1.559865102665768,5.3581322441659,0.0320946112508982,2.415,59.893,29.47,2.057232594,0.924871321,94010760,1
128,GBM-Grade IV-D7_3.jpg,1.5570251028176985,5.272747215010728,0.0315184815023846,2.398,32.302,32.4,2.128182507,0.926658369,100031648,1
129,GBM-Grade IV-D7_4.jpg,1.5458785406158593,5.4012394136425375,0.0308869012636887,2.376,61.491,28.901,2.241839096,0.926075709,88176381,1
130,GBM-Grade IV-F3(1)_0.jpg,1.7269771401761798,6.449456172588395,0.0229733252136287,2.524,25.186,34.494,2.02704206,0.919100359,72215151,1
131,GBM-Grade IV-F3(1)_1.jpg,1.7016124950220686,5.655342984079421,0.0192645603466463,2.546,26.196,34.252,2.224718547,0.91685584,71297697,1
132,GBM-Grade IV-F3(1)_2.jpg,1.6912557273334452,5.305602691133294,0.0176184701272338,2.591,24.208,35.157,2.003882694,0.917709789,63615553,1
133,GBM-Grade IV-F3(1)_3.jpg,1.6881111279314427,5.68433057027376,0.0193350257762502,2.551,26.355,34.234,2.383046587,0.906253847,51920957,1
134,GBM-Grade IV-F3(1)_4.jpg,1.6682359814541667,5.262290903462584,0.017408086065953,2.61,22.655,35.95,2.306187442,0.917768068,76198502,1
135,GBM-Grade IV-G2_0.jpg,1.5320918074718968,5.68815168258947,0.0182417940871319,2.21,36.152,30.515,2.257004009,0.941022309,64799411,1
136,GBM-Grade IV-G2_1.jpg,1.495372115366663,5.949437678488818,0.0188696990265684,2.208,39.389,29.907,1.813575279,0.934318274,71957780,1
137,GBM-Grade IV-G2_2.jpg,1.4951830766733607,5.528558854743498,0.0175855499711882,2.249,32.849,31.314,2.318255559,0.933706088,47922327,1
138,GBM-Grade IV-G2_3.jpg,1.5435553284407653,5.498117055351836,0.0179475746710507,2.348,32.558,32.09,1.986847084,0.935515205,61799275,1
139,GBM-Grade IV-G2_4.jpg,1.5267060932148495,5.5855167425301815,0.0175400848431285,2.311,37.325,30.967,1.887018063,0.940058608,81591244,1
140,GBM-Grade IV-E7(2)_0.jpg,1.7689178491902828,6.34268767511688,0.0264296555670036,2.643,20.207,37.658,3.578726642,0.860866181,82016392,1
141,GBM-Grade IV-E7(2)_1.jpg,1.7732498485428048,6.030569561851318,0.0268171855942445,2.757,16.842,40.135,2.944293107,0.873534166,98468053,1
142,GBM-Grade IV-E7(2)_2.jpg,1.7130926188929552,5.547384985542504,0.0221886190049084,2.715,18.296,39.075,3.756756155,0.866714799,91835663,1
143,GBM-Grade IV-E7(2)_3.jpg,1.7277504565191104,5.873240856890213,0.0248958146969055,2.687,18.277,38.862,2.957905271,0.871099215,99205667,1
144,GBM-Grade IV-E7(2)_4.jpg,1.7508804919964982,5.565936548908999,0.021099678238856,2.705,18.612,38.842,3.240274655,0.867722519,90721425,1
145,GBM-Grade IV-F1(1)_0.jpg,1.7329808665074642,6.334136860275026,0.0220548797257573,2.431,27.135,34.125,2.89097024,0.881202529,98860448,1
146,GBM-Grade IV-F1(1)_1.jpg,1.7048227426473024,5.337100280650877,0.0229853245465698,2.748,18.988,39.737,3.342580048,0.872249617,102178266,1
147,GBM-Grade IV-F1(1)_2.jpg,1.7307583264372948,5.828380261388233,0.0263381056415097,2.674,19.822,38.66,2.83460061,0.882241027,97890601,1
148,GBM-Grade IV-F1(1)_3.jpg,1.733621559141122,6.297558959691929,0.0275583929566555,2.55,24.407,36.062,2.603196607,0.888308391,109873350,1
149,GBM-Grade IV-F1(1)_4.jpg,1.7656154892695868,6.582996293612917,0.0223401045433774,2.37,28.692,33.523,2.71027455,0.88560074,99070037,1
150,GBM-Grade IV-E8(2)_0.jpg,1.770373784739626,5.564989272644372,0.0228113749642483,2.717,17.99,38.316,3.344813675,0.872464523,96852829,1
151,GBM-Grade IV-E8(2)_1.jpg,1.7580886180294422,5.693639276074205,0.0231468633712383,2.702,18.219,38.115,4.068153237,0.86269441,86298823,1
152,GBM-Grade IV-E8(2)_2.jpg,1.7310816428079427,4.993807581997328,0.0193546349427276,2.751,17.404,38.817,2.914010296,0.876553645,104180961,1
153,GBM-Grade IV-E8(2)_3.jpg,1.7328869849877957,5.691692175891702,0.021477925431458,2.846,15.961,40.743,4.464892093,0.856559459,81435769,1
154,GBM-Grade IV-E8(2)_4.jpg,1.8156650267195664,6.818141037090082,0.0297790419841033,2.664,19.339,37.373,2.860215919,0.877220916,103949165,1
155,GBM-Grade IV-F9_0.jpg,1.684799844451539,4.940991582752046,0.0282085396877074,2.778,16.895,40.871,3.057811441,0.884200532,87031370,1
156,GBM-Grade IV-F9_1.jpg,1.713682249672123,5.502812744285371,0.0323308420727113,2.765,17.715,40.625,2.912401303,0.88607924,89009003,1
157,GBM-Grade IV-F9_2.jpg,1.7658933401222086,6.055049233175957,0.0352970743726619,2.735,17.119,40.418,2.684448951,0.888205435,97527984,1
158,GBM-Grade IV-F9_3.jpg,1.7295278362608515,6.217331714984998,0.0353155268713243,2.721,17.732,40.154,2.640832509,0.887704671,100462218,1
159,GBM-Grade IV-F9_4.jpg,1.7147831648950946,5.630231851629007,0.0298559857649279,2.725,18.852,39.782,3.221754034,0.879926877,81940593,1
160,GBM-Grade IV-F2(2)_0.jpg,1.7878847804686482,6.581048429099656,0.0199047197705465,2.345,31.434,32.458,1.978591736,0.901178816,88743145,1
161,GBM-Grade IV-F2(2)_1.jpg,1.6713477875663325,5.356653303964044,0.0148774954580299,2.451,29.45,33.503,1.594228894,0.912772477,107058228,1
162,GBM-Grade IV-F2(2)_2.jpg,1.7817060792823023,6.644755010427702,0.0205985181486299,2.374,30.395,32.734,1.899677996,0.900742793,92750922,1
163,GBM-Grade IV-F2(2)_3.jpg,1.7487834032007556,5.734692869192966,0.016405419532425,2.431,31.405,33.103,1.939128794,0.897861393,88116117,1
164,GBM-Grade IV-F2(2)_4.jpg,1.6890395401855305,5.184119461386798,0.0143059566020808,2.504,28.459,33.957,1.910868036,0.900709678,87250971,1
165,GBM-Grade IV-F8_0.jpg,1.613093382607548,6.12941479406129,0.0256455126132618,2.251,34.899,30.698,2.20152048,0.915356956,98548131,1
166,GBM-Grade IV-F8_1.jpg,1.4849271021907042,5.120435195095668,0.0205415259681783,2.239,368.523,20.396,2.318929753,0.910595048,82918709,1
167,GBM-Grade IV-F8_2.jpg,1.5960812270465212,5.005288363215147,0.0195251383721944,2.376,32.653,32.032,2.380244,0.910494255,84660895,1
168,GBM-Grade IV-F8_3.jpg,1.5727766992209515,4.792178568667044,0.0183742876428934,2.379,32.619,32.042,2.232934251,0.913911999,87403778,1
169,GBM-Grade IV-F8_4.jpg,1.5745327541534058,5.586258849676196,0.0223268643104666,2.281,39.06,30.08,2.224058595,0.91510507,94660254,1
170,GBM-Grade IV-F10_0.jpg,1.798480423212222,6.951501375966538,0.0510973926791758,2.86,14.31,42.27,3.754287691,0.880775755,77691827,1
171,GBM-Grade IV-F10_1.jpg,1.7661416351398154,6.620056330277526,0.0464913752338826,2.887,13.669,42.869,3.397381355,0.879198543,83317570,1
172,GBM-Grade IV-F10_2.jpg,1.7740736558290702,6.314733245005152,0.0454387829057331,2.882,14.015,42.603,3.599355745,0.877494971,87480996,1
173,GBM-Grade IV-F10_3.jpg,1.724694409757568,6.154897457410243,0.0419371076095579,2.896,13.854,42.93,3.480340973,0.876406219,90289036,1
174,GBM-Grade IV-F10_4.jpg,1.7308233600310714,6.096618710232486,0.04015614525249,2.843,14.665,41.9,3.622875469,0.874815432,92280523,1
175,GBM-Grade IV-G1_0.jpg,1.714680888874601,5.652983561067797,0.014304673818254,2.475,28.494,34.294,1.810496654,0.905174144,86829694,1
176,GBM-Grade IV-G1_1.jpg,1.728543721383588,5.798400559114633,0.016288536432337,2.519,30.921,33.732,1.810115529,0.903685161,81583056,1
177,GBM-Grade IV-G1_2.jpg,1.723790091180259,5.758873321167008,0.0156851031608778,2.521,30.003,34.118,1.721306846,0.903463497,81186186,1
178,GBM-Grade IV-G1_3.jpg,1.7367801736139024,6.194411052973647,0.0162834524944363,2.459,31.205,33.341,2.055242164,0.897872116,68302864,1
179,GBM-Grade IV-G1_4.jpg,1.7910426765516627,6.461471551944818,0.0177351829382054,2.395,34.705,32.078,2.311598092,0.891797144,60660651,1
